Domain,Problem,CFA,Planner,Tool,Planning Results (%),Makespan (s),Number of Actions,Processing Time (s),Memory Usage (GB)
blocks_world,P09C05,DynamicProgramming,colin2,Object,0,45.039,49,31,0.583961486816
blocks_world,P09C06,DynamicProgramming,colin2,Object,1,-1,-1,4,0.0448226928711
blocks_world,P09C07,DynamicProgramming,colin2,Object,1,-1,-1,135,1.30239486694
blocks_world,P09C08,DynamicProgramming,colin2,Object,0,46.043,48,164,5.28517150879
blocks_world,P09C09,DynamicProgramming,colin2,Object,0,37.036,43,5,0.050106048584
blocks_world,P09C10,DynamicProgramming,colin2,Object,124,-1,-1,3603,95.7917861938
blocks_world,P10C01,DynamicProgramming,colin2,Object,0,37.042,60,52,1.50733184814
blocks_world,P10C02,DynamicProgramming,colin2,Object,0,26.031,40,355,12.5650062561
blocks_world,P10C03,DynamicProgramming,colin2,Object,134,-1,-1,1586,119.989151001
blocks_world,P10C04,DynamicProgramming,colin2,Object,134,-1,-1,2156,119.989459991
blocks_world,P10C05,DynamicProgramming,colin2,Object,0,35.041,57,105,4.38219070435
blocks_world,P10C06,DynamicProgramming,colin2,Object,0,24.024,29,3,0.0402336120605
blocks_world,P10C07,DynamicProgramming,colin2,Object,0,32.031,43,2,0.0385551452637
blocks_world,P10C08,DynamicProgramming,colin2,Object,124,-1,-1,3602,104.282428741
blocks_world,P10C09,DynamicProgramming,colin2,Object,0,25.028,45,3,0.053337097168
blocks_world,P10C10,DynamicProgramming,colin2,Object,0,25.027,39,23,0.289714813232
blocks_world,P01C01,DynamicProgramming,colin2,ObjectTime,134,-1,-1,1710,119.943401337
blocks_world,P01C02,DynamicProgramming,colin2,ObjectTime,134,-1,-1,3483,119.967651367
blocks_world,P01C03,DynamicProgramming,colin2,ObjectTime,134,-1,-1,2089,119.95634079
blocks_world,P01C04,DynamicProgramming,colin2,ObjectTime,0,67.068,82,8,0.0734100341797
blocks_world,P01C05,DynamicProgramming,colin2,ObjectTime,0,68.070,78,108,6.57260131836
blocks_world,P01C06,DynamicProgramming,colin2,ObjectTime,1,-1,-1,475,12.1952400208
blocks_world,P01C07,DynamicProgramming,colin2,ObjectTime,124,-1,-1,3603,98.8265914917
blocks_world,P01C08,DynamicProgramming,colin2,ObjectTime,0,52.054,63,24,0.604034423828
blocks_world,P01C09,DynamicProgramming,colin2,ObjectTime,0,75.080,92,1600,49.2511520386
blocks_world,P01C10,DynamicProgramming,colin2,ObjectTime,0,53.049,60,76,0.771366119385
blocks_world,P02C01,DynamicProgramming,colin2,ObjectTime,0,39.045,55,197,10.3138237
blocks_world,P02C02,DynamicProgramming,colin2,ObjectTime,134,-1,-1,3188,119.974662781
blocks_world,P02C03,DynamicProgramming,colin2,ObjectTime,0,35.041,58,419,20.5558776855
blocks_world,P02C04,DynamicProgramming,colin2,ObjectTime,1,-1,-1,52,2.25279998779
blocks_world,P02C05,DynamicProgramming,colin2,ObjectTime,0,51.058,64,217,12.7957267761
blocks_world,P02C06,DynamicProgramming,colin2,ObjectTime,0,26.033,42,2518,81.5378761292
blocks_world,P02C07,DynamicProgramming,colin2,ObjectTime,134,-1,-1,2572,119.946464539
blocks_world,P02C08,DynamicProgramming,colin2,ObjectTime,134,-1,-1,2678,119.979629517
blocks_world,P02C09,DynamicProgramming,colin2,ObjectTime,124,-1,-1,3602,102.767841339
blocks_world,P02C10,DynamicProgramming,colin2,ObjectTime,124,-1,-1,3603,113.277439117
